2026-01-24 17:34:00.867 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-01-24 17:34:01.255 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable tools capabilities, notification: true
2026-01-24 17:34:01.257 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Registered tools: 3
2026-01-24 17:34:01.257 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources capabilities, notification: true
2026-01-24 17:34:01.257 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable resources templates capabilities, notification: true
2026-01-24 17:34:01.258 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable prompts capabilities, notification: true
2026-01-24 17:34:01.258 INFO  [main] o.s.a.m.s.c.a.McpServerAutoConfiguration - Enable completions capabilities
2026-01-24 17:34:01.439 INFO  [pool-2-thread-1] i.m.server.McpAsyncServer - Client initialize request - Protocol: 2024-11-05, Capabilities: ClientCapabilities[experimental=null, roots=null, sampling=null, elicitation=null], Info: Implementation[name=spring-ai-mcp-client - ch12-mcp-server-stdio-boombarrier, title=ch12-mcp-server-stdio-boombarrier, version=1.0.0]
2026-01-24 17:34:01.623 INFO  [main] com.example.demo.DemoApplication - Started DemoApplication in 1.861 seconds (process running for 2.606)
2026-01-24 17:34:17.719 INFO  [boundedElastic-1] com.example.demo.tool.CarCheckTools - LLM이 인식한 차량 번호: 23가4567
2026-01-24 17:35:52.654 INFO  [main] com.example.demo.DemoApplication - Starting DemoApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 33044 (D:\Work\ai\spring-ai\출판\소스\projects\ch12-mcp-server-stdio-boombarrier\build\libs\ch12-mcp-server-stdio-boombarrier-0.0.1-SNAPSHOT.jar started by blueskii in D:\Work\ai\spring-ai\출판\소스\projects\ch12-mcp-server-stdio-application)
2026-01-24 17:35:52.656 INFO  [main] com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
